timestamp,sensor_id,roll,pitch,yaw
2025-07-14T18:52:36.848005,6,-0.04,-0.01,-0.05
2025-07-14T18:52:36.848057,2,0.04,-0.09,-0.09
2025-07-14T18:52:36.848086,4,0.02,-0.07,0.01
2025-07-14T18:52:36.848117,6,-0.04,-0.02,-0.05
2025-07-14T18:52:36.851317,2,0.03,-0.08,-0.09
2025-07-14T18:52:36.851364,4,0.02,-0.06,0.01
2025-07-14T18:52:36.958013,6,-0.04,-0.02,-0.04
2025-07-14T18:52:36.958068,2,0.04,-0.09,-0.08
2025-07-14T18:52:36.958101,4,0.0,-0.06,0.01
2025-07-14T18:52:37.011913,6,-0.03,-0.01,-0.05
2025-07-14T18:52:37.011970,2,0.03,-0.09,-0.09
2025-07-14T18:52:37.012003,4,0.01,-0.06,0.01
2025-07-14T18:52:37.012033,6,-0.04,-0.01,-0.04
2025-07-14T18:52:37.012061,2,0.04,-0.08,-0.1
2025-07-14T18:52:37.012090,4,0.0,-0.06,0.01
2025-07-14T18:52:37.012119,6,-0.04,-0.03,-0.05
2025-07-14T18:52:37.012146,2,0.04,-0.08,-0.09
2025-07-14T18:52:37.012173,4,0.04,-0.06,0.01
2025-07-14T18:52:37.012200,6,-0.04,-0.01,-0.04
2025-07-14T18:52:37.012232,2,0.04,-0.07,-0.09
2025-07-14T18:52:37.311920,6,-0.04,-0.0,-0.05
2025-07-14T18:52:37.311980,2,0.05,-0.08,-0.08
2025-07-14T18:52:37.315083,4,0.02,-0.06,0.01
2025-07-14T18:52:37.315118,2,0.04,-0.08,-0.08
2025-07-14T18:52:37.318420,4,0.04,-0.05,0.01
2025-07-14T18:52:37.509867,6,-0.03,-0.02,-0.04
2025-07-14T18:52:37.509924,6,-0.03,-0.01,-0.04
2025-07-14T18:52:37.509953,2,0.04,-0.08,-0.08
2025-07-14T18:52:37.513052,4,0.03,-0.06,0.01
2025-07-14T18:52:37.513106,2,0.04,-0.06,-0.08
2025-07-14T18:52:37.513134,2,0.05,-0.07,-0.08
2025-07-14T18:52:37.516271,6,-0.03,-0.0,-0.04
2025-07-14T18:52:37.516302,2,0.06,-0.08,-0.08
2025-07-14T18:52:37.516328,4,0.03,-0.04,0.01
2025-07-14T18:52:37.519580,6,-0.02,-0.02,-0.04
2025-07-14T18:52:37.519633,2,0.06,-0.08,-0.08
2025-07-14T18:52:37.519661,4,0.04,-0.05,0.01
2025-07-14T18:52:37.519688,6,-0.02,0.0,-0.04
2025-07-14T18:52:37.522883,2,0.05,-0.08,-0.08
2025-07-14T18:52:37.577289,4,0.03,-0.04,0.01
2025-07-14T18:52:37.577346,6,-0.03,-0.0,-0.04
2025-07-14T18:52:37.577400,2,0.05,-0.08,-0.08
2025-07-14T18:52:37.577433,4,0.04,-0.05,0.02
2025-07-14T18:52:37.577461,6,-0.04,-0.01,-0.04
2025-07-14T18:52:37.577491,4,0.02,-0.04,0.02
2025-07-14T18:52:37.579234,6,-0.03,-0.02,-0.04
2025-07-14T18:52:37.582571,2,0.06,-0.08,-0.07
2025-07-14T18:52:37.582627,4,0.03,-0.04,0.02
2025-07-14T18:52:37.582654,6,-0.03,-0.01,-0.05
2025-07-14T18:52:37.585830,2,0.05,-0.07,-0.07
2025-07-14T18:52:37.585890,4,0.02,-0.04,0.02
2025-07-14T18:52:37.585917,6,-0.04,-0.02,-0.05
2025-07-14T18:52:37.589064,2,0.07,-0.07,-0.07
2025-07-14T18:52:37.589113,4,0.02,-0.05,0.02
